2017-06-08 01:17:20.283 INFO  DefaultFactory Logging to 'c:\users\joshua\documents\visual studio 2017\Projects\CallItLocal\ClientApplicationMVC\App_Data\' with level Info
2017-06-08 09:26:41.397 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 09:26:41.419 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 09:26:41.439 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 09:26:41.454 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 09:26:41.468 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 09:26:41.484 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 09:26:41.501 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient-1] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 09:26:41.519 WARN  NServiceBus.QueuePermissions Queue [private$\UserClient-1] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-08 09:26:41.536 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-08 09:26:41.551 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-08 09:26:41.564 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
